Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-01-02,4.2802,4.3137,4.2755,4.2991
2015-01-05,4.2933,4.3162,4.2827,4.2845
2015-01-06,4.2845,4.3209,4.2839,4.3162
2015-01-07,4.3154,4.3193,4.288,4.2894
2015-01-08,4.2893,4.2994,4.2764,4.2772
2015-01-09,4.2772,4.2859,4.2521,4.2674
2015-01-12,4.2618,4.2843,4.2593,4.2709
2015-01-13,4.2705,4.2854,4.2686,4.2774
2015-01-14,4.2775,4.2946,4.2534,4.2564
2015-01-15,4.2564,4.3672,4.2357,4.3105
2015-01-16,4.3105,4.3332,4.2985,4.3021
2015-01-19,4.3088,4.3325,4.2999,4.3298
2015-01-20,4.3295,4.3335,4.3191,4.3306
2015-01-21,4.3307,4.3329,4.2909,4.2994
2015-01-22,4.2993,4.3095,4.2464,4.2541
2015-01-23,4.2535,4.2554,4.1954,4.2008
2015-01-26,4.2051,4.2334,4.1988,4.2116
2015-01-27,4.2116,4.2394,4.2078,4.2331
2015-01-28,4.2332,4.2496,4.2232,4.2447
2015-01-29,4.2448,4.2554,4.2009,4.2105
2015-01-30,4.2118,4.2165,4.1786,4.1834
2015-02-02,4.182,4.1868,4.1639,4.1846
2015-02-03,4.1849,4.1895,4.1573,4.1692
2015-02-04,4.1693,4.1821,4.1525,4.1651
2015-02-05,4.1651,4.1808,4.1604,4.1675
2015-02-06,4.1673,4.1731,4.146,4.1566
2015-02-09,4.1583,4.1927,4.1553,4.1819
2015-02-10,4.1822,4.2022,4.1797,4.1991
2015-02-11,4.1991,4.2226,4.194,4.2016
2015-02-12,4.2014,4.2103,4.1602,4.1636
2015-02-13,4.1636,4.1851,4.1625,4.1843
2015-02-16,4.1759,4.183,4.1726,4.1758
2015-02-17,4.1757,4.1936,4.1709,4.1892
2015-02-18,4.1894,4.1979,4.1798,4.1815
2015-02-19,4.1815,4.1861,4.1575,4.1687
2015-02-20,4.1685,4.1825,4.1608,4.1663
2015-02-23,4.1753,4.1824,4.1678,4.1792
2015-02-24,4.1787,4.18,4.1519,4.1573
2015-02-25,4.1574,4.165,4.1528,4.1568
2015-02-26,4.1567,4.1593,4.1445,4.1488
2015-02-27,4.1489,4.1554,4.1421,4.1457
2015-03-02,4.146,4.1569,4.143,4.1552
2015-03-03,4.1552,4.1691,4.1506,4.1642
2015-03-04,4.1642,4.18,4.1292,4.146
2015-03-05,4.1461,4.1487,4.1289,4.1415
2015-03-06,4.1415,4.1416,4.0976,4.1279
2015-03-09,4.1316,4.1347,4.1127,4.1152
2015-03-10,4.1152,4.1639,4.1139,4.157
2015-03-11,4.157,4.1638,4.1153,4.1215
2015-03-12,4.1215,4.1463,4.1167,4.1411
2015-03-13,4.1414,4.1598,4.1377,4.1466
2015-03-16,4.1474,4.1535,4.1213,4.1255
2015-03-17,4.1255,4.1476,4.1234,4.1339
2015-03-18,4.1343,4.1532,4.1232,4.1342
2015-03-19,4.1345,4.144,4.1089,4.1283
2015-03-20,4.1285,4.1413,4.1191,4.1333
2015-03-23,4.1369,4.1413,4.1028,4.108
2015-03-24,4.108,4.1202,4.0906,4.0943
2015-03-25,4.0943,4.0996,4.0807,4.0832
2015-03-26,4.0832,4.0931,4.0709,4.0863
2015-03-27,4.0862,4.1046,4.0805,4.0988
2015-03-30,4.1032,4.1054,4.0843,4.0903
2015-03-31,4.09027,4.0918,4.07047,4.07459
2015-04-01,4.0746,4.0925,4.053,4.0572
2015-04-02,4.0572,4.0765,4.0563,4.0708
2015-04-03,4.0708,4.0853,4.0551,4.0635
2015-04-06,4.0599,4.079,4.0557,4.0779
2015-04-07,4.0782,4.0796,4.0398,4.0435
2015-04-08,4.0435,4.0452,4.0023,4.0082
2015-04-09,4.0083,4.0325,4.0014,4.026
2015-04-10,4.026,4.0326,4.0062,4.0254
2015-04-13,4.0226,4.0253,4.0003,4.0057
2015-04-14,4.0056,4.0206,3.9975,4.0164
2015-04-15,4.0162,4.0295,4.0062,4.0203
2015-04-16,4.0206,4.0408,4.0067,4.0246
2015-04-17,4.0245,4.0343,4.0084,4.0275
2015-04-20,4.0279,4.0294,3.9838,3.9887
2015-04-21,3.9887,3.9937,3.9674,3.9874
2015-04-22,3.9873,4.0072,3.9834,3.9883
2015-04-23,3.9883,4.0199,3.9875,4
2015-04-24,4,4.0483,3.997,4.0377
2015-04-27,4.0347,4.0409,3.9845,3.9883
2015-04-28,3.9883,4.0119,3.9857,3.9948
2015-04-29,3.9948,4.0262,3.9943,4.0116
2015-04-30,4.0116,4.0482,4.0064,4.0415
2015-05-01,4.042,4.0774,4.0293,4.0731
2015-05-04,4.0687,4.0701,4.0253,4.0288
2015-05-05,4.0288,4.0396,4.0134,4.029
2015-05-06,4.029,4.0632,4.0285,4.0456
2015-05-07,4.0458,4.0858,4.0388,4.0455
2015-05-08,4.0448,4.0913,4.0365,4.0458
2015-05-11,4.0659,4.087,4.058,4.0817
2015-05-12,4.0819,4.1114,4.075,4.0997
2015-05-13,4.0997,4.1047,4.0684,4.0997
2015-05-14,4.0996,4.1075,4.0629,4.0689
2015-05-15,4.0689,4.072,4.038,4.0402
2015-05-18,4.0471,4.0774,4.038,4.0748
2015-05-19,4.0749,4.0777,4.0373,4.0518
2015-05-20,4.0518,4.0868,4.0461,4.0814
2015-05-21,4.0814,4.1085,4.079,4.092
2015-05-22,4.0922,4.1112,4.0879,4.1077
2015-05-25,4.1286,4.1334,4.0998,4.104
2015-05-26,4.104,4.1546,4.1009,4.1475
2015-05-27,4.1477,4.1538,4.1223,4.1289
2015-05-28,4.129,4.1435,4.1228,4.1413
2015-05-29,4.1408,4.1438,4.1071,4.1106
2015-06-01,4.1095,4.1337,4.1085,4.1164
2015-06-02,4.1166,4.1386,4.1148,4.1194
2015-06-03,4.1197,4.1654,4.1168,4.1639
2015-06-04,4.164,4.1923,4.1569,4.1707
2015-06-05,4.1707,4.1727,4.1159,4.1607
2015-06-08,4.1553,4.1773,4.1515,4.1756
2015-06-09,4.1755,4.1797,4.1622,4.1763
2015-06-10,4.1755,4.1769,4.1348,4.1422
2015-06-11,4.1422,4.1537,4.1214,4.1326
2015-06-12,4.1328,4.1563,4.13,4.1381
2015-06-15,4.1484,4.1634,4.1413,4.1511
2015-06-16,4.1511,4.1652,4.1381,4.1423
2015-06-17,4.1424,4.1781,4.1414,4.1513
2015-06-18,4.1514,4.1774,4.1507,4.1748
2015-06-19,4.1748,4.1861,4.1665,4.1842
2015-06-22,4.1787,4.1811,4.1586,4.1677
2015-06-23,4.1679,4.1761,4.1548,4.1622
2015-06-24,4.162,4.1752,4.1568,4.1723
2015-06-25,4.1723,4.1783,4.1639,4.171
2015-06-26,4.171,4.1773,4.1678,4.1765
2015-06-29,4.1887,4.2047,4.1854,4.1958
2015-06-30,4.19578,4.1963,4.18262,4.19166
2015-07-01,4.1916,4.1944,4.1831,4.1881
2015-07-02,4.1881,4.1964,4.1866,4.1918
2015-07-03,4.1919,4.1964,4.1874,4.192
2015-07-06,4.2134,4.2156,4.1931,4.2041
2015-07-07,4.2042,4.2167,4.1947,4.2118
2015-07-08,4.2119,4.24,4.2108,4.2332
2015-07-09,4.2331,4.2385,4.2118,4.2159
2015-07-10,4.2156,4.2202,4.1682,4.175
2015-07-13,4.1797,4.1817,4.1337,4.137
2015-07-14,4.1371,4.1552,4.1264,4.1303
2015-07-15,4.1305,4.138,4.1274,4.1306
2015-07-16,4.13,4.1324,4.1053,4.112
2015-07-17,4.112,4.1174,4.0961,4.1094
2015-07-20,4.1067,4.1257,4.1045,4.124
2015-07-21,4.1241,4.1374,4.1043,4.1332
2015-07-22,4.1346,4.1382,4.1094,4.1177
2015-07-23,4.1178,4.132,4.114,4.1184
2015-07-24,4.1185,4.1455,4.1079,4.143
2015-07-27,4.1437,4.1554,4.1172,4.1192
2015-07-28,4.1192,4.1293,4.1143,4.1203
2015-07-29,4.1203,4.1464,4.1195,4.1264
2015-07-30,4.1264,4.1528,4.1235,4.1413
2015-07-31,4.1414,4.1553,4.1402,4.1426
2015-08-03,4.1466,4.1507,4.1293,4.1469
2015-08-04,4.1459,4.1936,4.1387,4.1833
2015-08-05,4.1833,4.1864,4.157,4.1713
2015-08-06,4.1716,4.2001,4.1712,4.1902
2015-08-07,4.1908,4.1967,4.1765,4.1835
2015-08-10,4.1869,4.2036,4.183,4.2005
2015-08-11,4.2006,4.2055,4.1924,4.1974
2015-08-12,4.1973,4.2133,4.1846,4.1874
2015-08-13,4.1875,4.1947,4.1718,4.1795
2015-08-14,4.1797,4.1945,4.1734,4.1834
2015-08-17,4.1841,4.1898,4.1599,4.1629
2015-08-18,4.1629,4.1701,4.1556,4.1638
2015-08-19,4.1638,4.184,4.1617,4.1774
2015-08-20,4.1775,4.1981,4.1745,4.1957
2015-08-21,4.1954,4.2325,4.1905,4.2254
2015-08-24,4.2251,4.2657,4.2178,4.2402
2015-08-25,4.2402,4.2639,4.2076,4.2507
2015-08-26,4.2506,4.2533,4.2243,4.2314
2015-08-27,4.2313,4.2455,4.2101,4.2286
2015-08-28,4.2285,4.2472,4.2137,4.2142
2015-08-31,4.2228,4.2395,4.2142,4.2303
2015-09-01,4.2302,4.2547,4.2262,4.2528
2015-09-02,4.2528,4.2583,4.2284,4.2369
2015-09-03,4.237,4.238,4.1992,4.2148
2015-09-04,4.2151,4.244,4.2134,4.2288
2015-09-07,4.222,4.2384,4.2173,4.2342
2015-09-08,4.2342,4.2392,4.2228,4.227
2015-09-09,4.227,4.2317,4.2027,4.2147
2015-09-10,4.2136,4.221,4.2076,4.2115
2015-09-11,4.2115,4.2237,4.2013,4.2074
2015-09-14,4.2063,4.2149,4.2024,4.2085
2015-09-15,4.2085,4.2161,4.1914,4.1992
2015-09-16,4.1992,4.208,4.1913,4.2013
2015-09-17,4.2013,4.2125,4.1931,4.2043
2015-09-18,4.2004,4.2135,4.1931,4.2054
2015-09-21,4.2026,4.2122,4.1817,4.1873
2015-09-22,4.1873,4.2195,4.1818,4.2043
2015-09-23,4.2043,4.2234,4.198,4.2168
2015-09-24,4.2167,4.235,4.2141,4.2225
2015-09-25,4.2218,4.2309,4.2074,4.2281
2015-09-28,4.2243,4.2447,4.2196,4.242
2015-09-29,4.2421,4.2515,4.232,4.2372
2015-09-30,4.23666,4.25049,4.22738,4.24658
2015-10-01,4.2465,4.2574,4.2358,4.2481
2015-10-02,4.2479,4.2577,4.2426,4.2478
2015-10-05,4.2502,4.2532,4.2362,4.2448
2015-10-06,4.2451,4.2524,4.2367,4.2399
2015-10-07,4.2396,4.2421,4.2195,4.2316
2015-10-08,4.2316,4.2434,4.2189,4.222
2015-10-09,4.2219,4.2274,4.2087,4.2201
2015-10-12,4.2205,4.2272,4.2149,4.2227
2015-10-13,4.2227,4.2423,4.2204,4.2338
2015-10-14,4.2338,4.2377,4.2261,4.227
2015-10-15,4.2272,4.2369,4.2213,4.2325
2015-10-16,4.2326,4.242,4.2283,4.2364
2015-10-19,4.2358,4.2482,4.2313,4.2464
2015-10-20,4.2466,4.2621,4.2429,4.2621
2015-10-21,4.262,4.293,4.2582,4.2913
2015-10-22,4.2914,4.2955,4.2478,4.2517
2015-10-23,4.2518,4.2661,4.2407,4.2493
2015-10-26,4.2707,4.2798,4.251,4.2758
2015-10-27,4.2758,4.2922,4.266,4.2821
2015-10-28,4.2823,4.2955,4.28,4.2849
2015-10-29,4.285,4.2864,4.2676,4.2801
2015-10-30,4.28009,4.28032,4.24317,4.24994
2015-11-02,4.2467,4.2638,4.242,4.2558
2015-11-03,4.2558,4.2614,4.2416,4.2512
2015-11-04,4.2512,4.2564,4.2237,4.2444
2015-11-05,4.2444,4.2546,4.2281,4.2516
2015-11-06,4.2516,4.2794,4.2349,4.2693
2015-11-09,4.2665,4.276,4.25,4.2541
2015-11-10,4.254,4.2579,4.2355,4.2356
2015-11-11,4.236,4.2449,4.2075,4.2175
2015-11-12,4.2175,4.237,4.2134,4.2347
2015-11-13,4.2346,4.2512,4.2258,4.2411
2015-11-16,4.2417,4.2521,4.2345,4.2452
2015-11-17,4.2452,4.2533,4.2402,4.2451
2015-11-18,4.245,4.264,4.2439,4.2482
2015-11-19,4.2468,4.2556,4.2408,4.2522
2015-11-20,4.252,4.2552,4.237,4.2405
2015-11-23,4.2427,4.2595,4.2362,4.253
2015-11-24,4.2531,4.2649,4.2496,4.2615
2015-11-25,4.2614,4.2729,4.2567,4.2688
2015-11-26,4.2688,4.2781,4.267,4.2744
2015-11-27,4.2744,4.2794,4.2618,4.2713
2015-11-30,4.26785,4.28026,4.26275,4.26882
2015-12-01,4.2691,4.28631,4.26271,4.28148
2015-12-02,4.28155,4.28289,4.26979,4.27806
2015-12-03,4.27801,4.341,4.24885,4.33214
2015-12-04,4.3323,4.3368,4.2913,4.3145
2015-12-07,4.3066,4.3242,4.3051,4.3226
2015-12-08,4.3227,4.3451,4.3211,4.3438
2015-12-09,4.3437,4.3493,4.3364,4.3484
2015-12-10,4.3484,4.35069,4.33726,4.34757
2015-12-11,4.34753,4.36635,4.34179,4.3653
2015-12-14,4.3666,4.3717,4.3482,4.3666
2015-12-15,4.3666,4.3699,4.306,4.3206
2015-12-16,4.3204,4.33546,4.28975,4.30087
2015-12-17,4.30106,4.30695,4.27876,4.30143
2015-12-18,4.30146,4.30423,4.25771,4.27352
2015-12-21,4.26895,4.27639,4.23228,4.2535
2015-12-22,4.2535,4.25773,4.2324,4.24882
2015-12-23,4.24882,4.25212,4.23694,4.24043
2015-12-24,4.24052,4.2529,4.23167,4.23886
2015-12-28,4.24537,4.2517,4.23497,4.24497
2015-12-29,4.24517,4.25036,4.2288,4.23505
2015-12-30,4.2375,4.25859,4.22993,4.25709
2015-12-31,4.25713,4.29404,4.25018,4.26333
2016-01-04,4.27296,4.30279,4.25823,4.29871
2016-01-05,4.29859,4.31993,4.2973,4.30676
2016-01-06,4.3069,4.35582,4.30551,4.35044
2016-01-07,4.3499,4.35853,4.32703,4.3459
2016-01-08,4.34575,4.36593,4.33151,4.3639
2016-01-11,4.36064,4.36836,4.34914,4.35167
2016-01-12,4.35113,4.37666,4.35087,4.36065
2016-01-13,4.36065,4.3618,4.33119,4.35426
2016-01-14,4.35371,4.3951,4.3436,4.39452
2016-01-15,4.39454,4.49339,4.38764,4.48024
2016-01-18,4.48414,4.49217,4.45306,4.4601
2016-01-19,4.46015,4.46307,4.43184,4.44904
2016-01-20,4.44904,4.50463,4.4487,4.49696
2016-01-21,4.49646,4.51309,4.46948,4.49217
2016-01-22,4.49212,4.49285,4.44444,4.45929
2016-01-25,4.46103,4.48168,4.45442,4.47802
2016-01-26,4.47802,4.50107,4.44379,4.44782
2016-01-27,4.44795,4.48496,4.44622,4.48303
2016-01-28,4.4827,4.48439,4.44445,4.45443
2016-01-29,4.45522,4.46309,4.41542,4.41985
2016-02-01,4.42675,4.43291,4.3874,4.39946
2016-02-02,4.39946,4.42242,4.37489,4.42179
2016-02-03,4.42159,4.4301,4.38577,4.4168
2016-02-04,4.4186,4.42795,4.40283,4.42252
2016-02-05,4.4226,4.42693,4.39827,4.40893
2016-02-08,4.41439,4.45621,4.39955,4.44757
2016-02-09,4.44776,4.47307,4.4393,4.44818
2016-02-10,4.44831,4.44831,4.40043,4.40564
2016-02-11,4.40545,4.46605,4.40218,4.42354
2016-02-12,4.4236,4.4268,4.38829,4.39712
2016-02-15,4.39799,4.40706,4.39054,4.39533
2016-02-16,4.39543,4.41791,4.39278,4.40337
2016-02-17,4.40327,4.41711,4.38561,4.3973
2016-02-18,4.39734,4.40071,4.37312,4.39478
2016-02-19,4.39467,4.39806,4.36907,4.36962
2016-02-22,4.37272,4.38963,4.35704,4.35843
2016-02-23,4.35838,4.38289,4.35694,4.382
2016-02-24,4.38198,4.38789,4.36171,4.37841
2016-02-25,4.37841,4.37897,4.35156,4.3558
2016-02-26,4.3549,4.37129,4.35106,4.36845
2016-02-29,4.36844,4.37804,4.34038,4.35099
2016-03-01,4.35035,4.35139,4.32672,4.32962
2016-03-02,4.32966,4.33733,4.31584,4.32279
2016-03-03,4.32279,4.35256,4.31438,4.33772
2016-03-04,4.33866,4.3478,4.31333,4.32118
2016-03-07,4.32739,4.33665,4.31582,4.33202
2016-03-08,4.3319,4.34124,4.31852,4.32346
2016-03-09,4.3239,4.32684,4.30738,4.31883
2016-03-10,4.31876,4.34664,4.28707,4.33824
2016-03-11,4.33781,4.33889,4.28895,4.29214
2016-03-14,4.29513,4.306,4.27288,4.27854
2016-03-15,4.27859,4.30147,4.2771,4.28924
2016-03-16,4.28927,4.31244,4.28622,4.28926
2016-03-17,4.28926,4.3055,4.26618,4.27618
2016-03-18,4.27618,4.27913,4.25612,4.2628
2016-03-21,4.26439,4.26846,4.25362,4.25963
2016-03-22,4.25963,4.26927,4.25374,4.25648
2016-03-23,4.25659,4.26358,4.25009,4.26328
2016-03-24,4.26311,4.28511,4.25603,4.26898
2016-03-28,4.2641,4.26415,4.24101,4.25176
2016-03-29,4.25202,4.25628,4.2441,4.24754
2016-03-30,4.24734,4.28226,4.24004,4.27133
2016-03-31,4.27093,4.28295,4.23618,4.243
2016-04-01,4.24298,4.25723,4.22944,4.25498
2016-04-04,4.2485,4.2556,4.22693,4.24087
2016-04-05,4.24191,4.26895,4.23828,4.26483
2016-04-06,4.26545,4.27992,4.25425,4.27014
2016-04-07,4.27014,4.30267,4.25441,4.29951
2016-04-08,4.29824,4.29951,4.28599,4.29485
2016-04-11,4.29633,4.29771,4.26968,4.27656
2016-04-12,4.2768,4.29803,4.27333,4.28852
2016-04-13,4.28792,4.29583,4.27795,4.28727
2016-04-14,4.28751,4.30882,4.28485,4.30048
2016-04-15,4.30072,4.30239,4.29052,4.29563
2016-04-18,4.29263,4.31052,4.29009,4.30622
2016-04-19,4.30618,4.3105,4.28917,4.29721
2016-04-20,4.29623,4.3033,4.2664,4.27399
2016-04-21,4.27316,4.32938,4.26832,4.32112
2016-04-22,4.32121,4.37353,4.31591,4.3636
2016-04-25,4.36376,4.42721,4.36129,4.4102
2016-04-26,4.4101,4.41521,4.36902,4.37397
2016-04-27,4.37388,4.41053,4.37065,4.3849
2016-04-28,4.38496,4.40365,4.37984,4.39726
2016-04-29,4.39726,4.41232,4.36679,4.3732
2016-05-02,4.37612,4.39315,4.36747,4.37999
2016-05-03,4.37997,4.40562,4.36754,4.39264
2016-05-04,4.39277,4.407,4.39126,4.40154
2016-05-05,4.40091,4.43035,4.39008,4.40529
2016-05-06,4.40546,4.43658,4.40285,4.43284
2016-05-09,4.43195,4.43376,4.40555,4.4324
2016-05-10,4.4324,4.43324,4.40827,4.41787
2016-05-11,4.41804,4.43007,4.41644,4.42564
2016-05-12,4.42533,4.43548,4.40781,4.41406
2016-05-13,4.41386,4.4207,4.38674,4.41173
2016-05-16,4.38638,4.39037,4.35788,4.37118
2016-05-17,4.37123,4.37469,4.3559,4.37038
2016-05-18,4.37031,4.40386,4.36817,4.39674
2016-05-19,4.39679,4.41713,4.39111,4.41161
2016-05-20,4.41161,4.42743,4.40817,4.41542
2016-05-23,4.4182,4.44877,4.41209,4.44423
2016-05-24,4.44424,4.45704,4.4212,4.42696
2016-05-25,4.42599,4.42834,4.40221,4.40693
2016-05-26,4.40698,4.42153,4.3957,4.40795
2016-05-27,4.4079,4.41274,4.3839,4.38639
2016-05-30,4.38853,4.401,4.38669,4.39392
2016-05-31,4.39525,4.39941,4.37674,4.38625
2016-06-01,4.38625,4.39877,4.38314,4.38447
2016-06-02,4.38459,4.39876,4.38165,4.38516
2016-06-03,4.38545,4.40352,4.37489,4.38616
2016-06-06,4.38284,4.39644,4.35357,4.35692
2016-06-07,4.35692,4.35979,4.34117,4.35341
2016-06-08,4.35351,4.3564,4.31467,4.3213
2016-06-09,4.32152,4.3404,4.31918,4.33559
2016-06-10,4.33539,4.37816,4.33413,4.37514
2016-06-13,4.36911,4.41806,4.36653,4.41284
2016-06-14,4.41279,4.44364,4.41143,4.43063
2016-06-15,4.43062,4.43647,4.40532,4.42666
2016-06-16,4.42676,4.45646,4.40299,4.42723
2016-06-17,4.42728,4.44843,4.41017,4.42015
2016-06-20,4.42159,4.42222,4.38067,4.38815
2016-06-21,4.38833,4.42713,4.3807,4.3993
2016-06-22,4.3993,4.40762,4.36731,4.3714
2016-06-23,4.37134,4.38705,4.32241,4.33946
2016-06-24,4.33941,4.52995,4.32471,4.4496
2016-06-27,4.44593,4.47096,4.41076,4.46282
2016-06-28,4.46326,4.47197,4.41956,4.42726
2016-06-29,4.42697,4.43606,4.40871,4.42188
2016-06-30,4.42157,4.44118,4.36494,4.37276
2016-07-01,4.37267,4.41795,4.37015,4.41143
2016-07-04,4.41071,4.43872,4.3994,4.43622
2016-07-05,4.4363,4.45647,4.43518,4.43963
2016-07-06,4.43948,4.45667,4.43243,4.44127
2016-07-07,4.4412,4.44619,4.42128,4.42725
2016-07-08,4.42727,4.43667,4.40953,4.41266
2016-07-11,4.41124,4.43347,4.40744,4.42616
2016-07-12,4.42701,4.42977,4.39231,4.39508
2016-07-13,4.39508,4.41613,4.39508,4.40627
2016-07-14,4.40612,4.41789,4.38996,4.40877
2016-07-15,4.40892,4.41746,4.40761,4.41039
2016-07-18,4.42286,4.4238,4.36728,4.36958
2016-07-19,4.36996,4.39074,4.36701,4.38055
2016-07-20,4.38149,4.38419,4.36497,4.37036
2016-07-21,4.37041,4.37242,4.35418,4.35944
2016-07-22,4.35983,4.36892,4.35112,4.358
2016-07-25,4.36386,4.36833,4.35428,4.36063
2016-07-26,4.36089,4.37116,4.35383,4.36005
2016-07-27,4.36051,4.38083,4.35827,4.36982
2016-07-28,4.36982,4.38221,4.35787,4.36387
2016-07-29,4.36348,4.37594,4.35239,4.35588
2016-08-01,4.35823,4.36299,4.35065,4.35998
2016-08-02,4.35954,4.36353,4.32101,4.32466
2016-08-03,4.32494,4.32685,4.2765,4.28017
2016-08-04,4.28024,4.3034,4.28008,4.28748
2016-08-05,4.28748,4.29845,4.26537,4.27974
2016-08-08,4.2814,4.29116,4.26402,4.27144
2016-08-09,4.27154,4.27192,4.25843,4.26193
2016-08-10,4.26106,4.27051,4.25894,4.26479
2016-08-11,4.26479,4.26966,4.25585,4.26275
2016-08-12,4.26248,4.27432,4.25605,4.27301
2016-08-15,4.26844,4.27807,4.26177,4.26913
2016-08-16,4.26885,4.28125,4.25623,4.27341
2016-08-17,4.27351,4.30234,4.27173,4.28965
2016-08-18,4.28951,4.29906,4.28013,4.29086
2016-08-19,4.29081,4.31652,4.28692,4.31438
2016-08-22,4.30879,4.31575,4.29924,4.31013
2016-08-23,4.30959,4.31499,4.29515,4.30972
2016-08-24,4.30972,4.31343,4.29995,4.30908
2016-08-25,4.309,4.33524,4.3015,4.33268
2016-08-26,4.33274,4.33597,4.30743,4.33057
2016-08-29,4.32613,4.34725,4.3176,4.34347
2016-08-30,4.34341,4.36539,4.335,4.35837
2016-08-31,4.35837,4.36895,4.34598,4.36284
2016-09-01,4.36284,4.37821,4.35443,4.36106
2016-09-02,4.36062,4.40382,4.35669,4.36619
2016-09-05,4.37012,4.37052,4.33804,4.34191
2016-09-06,4.34192,4.34666,4.33014,4.33348
2016-09-07,4.33345,4.33619,4.31743,4.3198
2016-09-08,4.31997,4.3283,4.3052,4.32669
2016-09-09,4.32664,4.34549,4.32277,4.33888
2016-09-12,4.33233,4.35866,4.33128,4.34898
2016-09-13,4.34898,4.35733,4.34121,4.35376
2016-09-14,4.35376,4.35504,4.33461,4.33708
2016-09-15,4.33701,4.34128,4.31579,4.32826
2016-09-16,4.32826,4.33261,4.30745,4.31021
2016-09-19,4.30981,4.31325,4.28987,4.29752
2016-09-20,4.29762,4.30895,4.29148,4.30182
2016-09-21,4.30158,4.30705,4.28562,4.28966
2016-09-22,4.2895,4.29142,4.27554,4.28121
2016-09-23,4.28093,4.30803,4.27369,4.30114
